"시점",출생아수(명),자연증가건수(명),조출생률(천명당),자연증가율(천명당),합계출산율(명),출생성비(명)
"1970",1006645,748056,31.2,23.2,4.53,109.5
"1971",1024773,787245,31.2,23.9,4.54,109
"1972",952780,742709,28.4,22.2,4.12,109.5
"1973",965521,698061,28.3,20.5,4.07,104.6
"1974",922823,674016,26.6,19.4,3.77,109.4
"1975",874030,603373,24.8,17.1,3.43,112.4
"1976",796331,529474,22.2,14.8,3,110.7
"1977",825339,576085,22.7,15.8,2.99,104.2
"1978",750728,498430,20.3,13.5,2.64,111.3
"1979",862669,622683,23,16.6,2.9,106.4
"1980",862835,585551,22.6,15.4,2.82,105.3
"1981",867409,629928,22.4,16.3,2.57,107.1
"1982",848312,602545,21.6,15.3,2.39,106.8
"1983",769155,514592,19.3,12.9,2.06,107.3
"1984",674793,438348,16.7,10.8,1.74,108.3
"1985",655489,415071,16.1,10.2,1.66,109.4
"1986",636019,396763,15.4,9.6,1.58,111.7
"1987",623831,380327,15,9.1,1.53,108.8
"1988",633092,397313,15.1,9.5,1.55,113.2
"1989",639431,402613,15.1,9.5,1.56,111.8
"1990",649738,408122,15.2,9.5,1.57,116.5
"1991",709275,467005,16.4,10.8,1.71,112.4
"1992",730678,494516,16.7,11.3,1.76,113.6
"1993",715826,481569,16,10.8,1.654,115.3
"1994",721185,478746,16,10.6,1.656,115.2
"1995",715020,472182,15.7,10.3,1.634,113.2
"1996",691226,450077,15,9.8,1.574,111.5
"1997",675394,430701,14.5,9.3,1.537,108.2
"1998",641594,395769,13.7,8.4,1.464,110.1
"1999",620668,372934,13.2,7.9,1.425,109.5
"2000",640089,391349,13.5,8.2,1.48,110.1
"2001",559934,316121,11.7,6.6,1.309,109
"2002",496911,249387,10.3,5.2,1.178,109.9
"2003",495036,248573,10.2,5.1,1.191,108.6
"2004",476958,230738,9.8,4.8,1.164,108.2
"2005",438707,192833,9,4,1.085,107.8
"2006",451759,207597,9.2,4.2,1.132,107.6
"2007",496822,250340,10.1,5.1,1.259,106.2
"2008",465892,219779,9.4,4.4,1.192,106.4
"2009",444849,197907,9,4,1.149,106.4
"2010",470171,214766,9.4,4.3,1.226,106.9
"2011",471265,213869,9.4,4.3,1.244,105.7
"2012",484550,217329,9.6,4.3,1.297,105.7
"2013",436455,170198,8.6,3.4,1.187,105.3
"2014",435435,167743,8.6,3.3,1.205,105.3
"2015",438420,162525,8.6,3.2,1.239,105.3
"2016",406243,125416,7.9,2.5,1.172,105
"2017",357771,72237,7,1.4,1.052,106.3
"2018",326822,28002,6.4,0.5,0.977,105.4
"2019",302676,7566,5.9,0.1,0.918,105.5
"2020",272337,-32611,5.3,-0.6,0.837,104.8
"2021",260562,-57118,5.1,-1.1,0.808,105.1
"2022",249186,-123753,4.9,-2.4,0.778,104.7
"2023",230028,-122483,4.5,-2.4,0.721,105.1
"2024 p)",238300,-120000,4.7,-2.4,0.75,105
